accession,genename,GOIDs,localizations,organism,type
G3V6J8,Trib1,GO:0004672; GO:0004860; GO:0005524; GO:0005634; GO:0005737; GO:0007254; GO:0008134; GO:0014912; GO:0031434; GO:0031625; GO:0031665; GO:0032436; GO:0032496; GO:0043405; GO:0043433; GO:0045645; GO:0045651; GO:0045659; GO:0048662; GO:0055106,,Rattus norvegicus (Rat),Background Only
Q9EQL6,Trib1,GO:0004672; GO:0005524; GO:0005634; GO:0031434; GO:0032436; GO:0043405,,Rattus norvegicus (Rat),Background Only
Q9R012,Plk2,GO:0000082; GO:0000278; GO:0000785; GO:0000922; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0005813; GO:0005814; GO:0006468; GO:0007052; GO:0007093; GO:0007265; GO:0007613; GO:0010508; GO:0016525; GO:0018105; GO:0030425; GO:0032092; GO:0032436; GO:0032465; GO:0032486; GO:0043008; GO:0043066; GO:0044877; GO:0046599; GO:0048167; GO:0060291; GO:0060292; GO:0061000; GO:0071866; GO:0090050; GO:2000773,Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriole; Cell projection; Dendrite,Rattus norvegicus (Rat),Background Only
Q62881,Nol3,GO:0001666; GO:0005730; GO:0005737; GO:0005739; GO:0006376; GO:0010880; GO:0016020; GO:0016529; GO:0019900; GO:0019902; GO:0035877; GO:0042981; GO:0043066; GO:0043154; GO:0045445; GO:0046872; GO:0048659; GO:0051259; GO:0051481; GO:0051562; GO:0071456; GO:0089720; GO:0090201; GO:0097340; GO:1902042; GO:1903073; GO:1903206; GO:1903215; GO:1903298; GO:2001243,Cytoplasm; Mitochondrion; Sarcoplasmic reticulum; Membrane,Rattus norvegicus (Rat),Background Only
Q63053,Arc,GO:0001669; GO:0003729; GO:0005737; GO:0005886; GO:0005938; GO:0006897; GO:0007010; GO:0007492; GO:0007612; GO:0007616; GO:0009952; GO:0015629; GO:0016477; GO:0022604; GO:0030054; GO:0031901; GO:0043197; GO:0045121; GO:0048168; GO:0050804; GO:0051028; GO:0051260; GO:0061001; GO:0098839; GO:0098845; GO:0098978; GO:0099149; GO:0110077; GO:1900271; GO:1900452; GO:1903561; GO:2000969,Extracellular vesicle membrane; Cell junction; Synapse; Postsynaptic cell membrane; Postsynaptic density; Early endosome membrane; Cell projection; Dendrite; Cytoplasm; Cytoskeleton; Cell cortex; Dendritic spine; Cytoplasmic vesicle; Secretory vesicle; Acrosome,Rattus norvegicus (Rat),Background Only
P10158,Fosl1,GO:0000978; GO:0001228; GO:0001701; GO:0003677; GO:0005634; GO:0005654; GO:0005829; GO:0007296; GO:0007565; GO:0007612; GO:0008285; GO:0009612; GO:0009629; GO:0014070; GO:0031668; GO:0032570; GO:0034097; GO:0042493; GO:0042542; GO:0042734; GO:0043005; GO:0043065; GO:0043231; GO:0045787; GO:0045944; GO:0051091; GO:0051412; GO:0051591; GO:0060674; GO:0061614; GO:2000144,Nucleus,Rattus norvegicus (Rat),Background Only
Q5U334,Pvr,GO:0001618; GO:0002860; GO:0005913; GO:0007156; GO:0007157; GO:0016021; GO:0038023; GO:0042271; GO:0042803; GO:0050839; GO:0060370,,Rattus norvegicus (Rat),Background Only
D3ZBN3,Epha2,GO:0001501; GO:0001570; GO:0001649; GO:0002043; GO:0004714; GO:0005005; GO:0005524; GO:0005887; GO:0005925; GO:0006954; GO:0007169; GO:0007411; GO:0008630; GO:0009986; GO:0010591; GO:0014028; GO:0016525; GO:0021915; GO:0030027; GO:0030216; GO:0030316; GO:0031256; GO:0032682; GO:0033598; GO:0033628; GO:0036342; GO:0043005; GO:0043235; GO:0043491; GO:0043535; GO:0046058; GO:0046849; GO:0048320; GO:0050830; GO:0051898; GO:0060035; GO:0060326; GO:0060444; GO:0070160; GO:0070309; GO:0070372; GO:0070848; GO:0072659; GO:0090630; GO:1901491; GO:1903078; GO:1903348; GO:1904238,,Rattus norvegicus (Rat),Background Only
P05432,Errfi1,GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0007175; GO:0017124; GO:0019900; GO:0019901; GO:0031234; GO:0031267; GO:0031953; GO:0032691; GO:0032869; GO:0032966; GO:0036120; GO:0042059; GO:0042536; GO:0043589; GO:0045616; GO:0048286; GO:0050732; GO:0060426; GO:0060428; GO:0061469; GO:0070373; GO:0071364; GO:0071474; GO:0071549; GO:1903243,Cytoplasm; Cell membrane; Nucleus,Rattus norvegicus (Rat),Background Only
Q9JHX0,Rgs2,GO:0001965; GO:0001975; GO:0005096; GO:0005634; GO:0005730; GO:0005737; GO:0005829; GO:0007049; GO:0007283; GO:0007420; GO:0008277; GO:0009898; GO:0010519; GO:0010976; GO:0017148; GO:0030728; GO:0043005; GO:0043407; GO:0043951; GO:0045471; GO:0045744; GO:0048487; GO:0050873; GO:0055119; GO:0060087; GO:0060135; GO:0060452; GO:0061052; GO:0140194; GO:1900924,Cell membrane; Cytoplasm; Nucleus; Nucleolus,Rattus norvegicus (Rat),Background Only
